"","MAP.mm.wc","y"
"1",129,-0.0202718809157558
"2",140.939393939394,-0.0202718809157558
"3",152.878787878788,-0.0202718809157558
"4",164.818181818182,-0.0202718809157558
"5",176.757575757576,-0.0202718809157558
"6",188.69696969697,-0.0202718809157558
"7",200.636363636364,-0.0202718809157558
"8",212.575757575758,-0.0202718809157558
"9",224.515151515152,-0.0202718809157558
"10",236.454545454545,-0.0202718809157558
"11",248.393939393939,-0.0202718809157558
"12",260.333333333333,-0.0202718809157558
"13",272.272727272727,-0.0202718809157558
"14",284.212121212121,-0.0202718809157558
"15",296.151515151515,-0.0202718809157558
"16",308.090909090909,-0.0202718809157558
"17",320.030303030303,-0.0202718809157558
"18",331.969696969697,-0.0202718809157558
"19",343.909090909091,-0.0202718809157558
"20",355.848484848485,-0.0202718809157558
"21",367.787878787879,-0.0202718809157558
"22",379.727272727273,-0.0202718809157558
"23",391.666666666667,-0.0202718809157558
"24",403.606060606061,-0.0202718809157558
"25",415.545454545455,-0.0202718809157558
"26",427.484848484848,-0.0202718809157558
"27",439.424242424242,-0.197668574045659
"28",451.363636363636,-0.996384252230574
"29",463.30303030303,0.286485591190272
"30",475.242424242424,1.18676838242115
"31",487.181818181818,1.69388968298794
"32",499.121212121212,1.69388968298794
"33",511.060606060606,1.69388968298794
"34",523,1.69388968298794
"35",534.939393939394,1.69388968298794
"36",546.878787878788,1.69388968298794
"37",558.818181818182,1.69388968298794
"38",570.757575757576,1.69388968298794
"39",582.69696969697,1.69388968298794
"40",594.636363636364,1.69388968298794
"41",606.575757575758,1.69388968298794
"42",618.515151515152,1.69388968298794
"43",630.454545454545,1.69388968298794
"44",642.393939393939,1.69388968298794
"45",654.333333333333,1.69388968298794
"46",666.272727272727,1.69388968298794
"47",678.212121212121,1.69388968298794
"48",690.151515151515,1.69388968298794
"49",702.090909090909,1.69388968298794
"50",714.030303030303,1.69388968298794
"51",725.969696969697,1.69388968298794
"52",737.909090909091,1.69388968298794
"53",749.848484848485,1.69388968298794
"54",761.787878787879,1.69388968298794
"55",773.727272727273,1.69388968298794
"56",785.666666666667,1.69388968298794
"57",797.606060606061,1.69388968298794
"58",809.545454545455,1.69388968298794
"59",821.484848484848,1.69388968298794
"60",833.424242424242,1.69388968298794
"61",845.363636363636,1.69388968298794
"62",857.30303030303,1.69388968298794
"63",869.242424242424,1.69388968298794
"64",881.181818181818,1.69388968298794
"65",893.121212121212,1.69388968298794
"66",905.060606060606,1.69388968298794
"67",917,1.69388968298794
"68",928.939393939394,1.69388968298794
"69",940.878787878788,1.69388968298794
"70",952.818181818182,1.69388968298794
"71",964.757575757576,1.69388968298794
"72",976.69696969697,1.69388968298794
"73",988.636363636364,1.69388968298794
"74",1000.57575757576,1.69388968298794
"75",1012.51515151515,1.69388968298794
"76",1024.45454545455,1.69388968298794
"77",1036.39393939394,1.69388968298794
"78",1048.33333333333,1.69388968298794
"79",1060.27272727273,1.69388968298794
"80",1072.21212121212,1.69388968298794
"81",1084.15151515152,1.69388968298794
"82",1096.09090909091,1.69388968298794
"83",1108.0303030303,1.69388968298794
"84",1119.9696969697,1.69388968298794
"85",1131.90909090909,1.69388968298794
"86",1143.84848484848,1.69388968298794
"87",1155.78787878788,1.69388968298794
"88",1167.72727272727,1.69388968298794
"89",1179.66666666667,1.69388968298794
"90",1191.60606060606,1.69388968298794
"91",1203.54545454545,1.69388968298794
"92",1215.48484848485,1.69388968298794
"93",1227.42424242424,1.69388968298794
"94",1239.36363636364,1.69388968298794
"95",1251.30303030303,1.69388968298794
"96",1263.24242424242,1.69388968298794
"97",1275.18181818182,1.69388968298794
"98",1287.12121212121,1.69388968298794
"99",1299.06060606061,1.69388968298794
"100",1311,1.69388968298794
